BOLD_ID,Phylum,Class,Order,Family,Genus,Species
BOLD:AAA0008,Arthropoda,Insecta,Lepidoptera,Depressariidae,depressariidJanzen01,depressariidJanzen01 Janzen01
BOLD:AAA0009,Arthropoda,Insecta,Lepidoptera,Gelechiidae,gelechiidJanzen01,gelechiidJanzen01 Janzen01
BOLD:AAA0010,Arthropoda,Insecta,Lepidoptera,Gelechiidae,gelechiidJanzen01,gelechiidJanzen01 Janzen01
BOLD:AAA0011,Arthropoda,Insecta,Lepidoptera,Gelechiidae,gelechiidJanzen01,gelechiidJanzen01 Janzen01
BOLD:AAA0012,Arthropoda,Insecta,Lepidoptera,Gelechiidae,gelechiidJanzen01,gelechiidJanzen01 Janzen01
BOLD:AAA0014,Arthropoda,Insecta,Lepidoptera,Depressariidae,depressariidJanzen01,depressariidJanzen01 Janzen01
BOLD:AAA0026,Arthropoda,Insecta,Lepidoptera,Depressariidae,depressariidJanzen01,depressariidJanzen01 Janzen01
BOLD:AAA0034,Arthropoda,Insecta,Lepidoptera,Gelechiidae,gelechiidJanzen01,gelechiidJanzen01 Janzen01
BOLD:AAA0040,Arthropoda,Insecta,Lepidoptera,Depressariidae,depressariidJanzen01,depressariidJanzen01 Janzen01
BOLD:AAA0047,Arthropoda,Insecta,Lepidoptera,Gelechiidae,gelechiidJanzen01,gelechiidJanzen01 Janzen01
BOLD:AAA0049,Arthropoda,Insecta,Lepidoptera,Gelechiidae,gelechiidJanzen01,gelechiidJanzen01 Janzen01
BOLD:AAA0059,Arthropoda,Insecta,Lepidoptera,Depressariidae,depressariidJanzen01,depressariidJanzen01 Janzen01
BOLD:AAA0061,Arthropoda,Insecta,Lepidoptera,Depressariidae,depressariidJanzen01,depressariidJanzen01 Janzen01
BOLD:AAA0066,Arthropoda,Insecta,Lepidoptera,Depressariidae,depressariidJanzen01,depressariidJanzen01 Janzen01
BOLD:AAA0073,Arthropoda,Insecta,Lepidoptera,Gelechiidae,gelechiidJanzen01,gelechiidJanzen01 Janzen01
BOLD:AAA0077,Arthropoda,Insecta,Lepidoptera,Depressariidae,depressariidJanzen01,depressariidJanzen01 Janzen01
BOLD:AAA0079,Arthropoda,Insecta,Lepidoptera,Depressariidae,depressariidJanzen01,depressariidJanzen01 Janzen01
BOLD:AAA0080,Arthropoda,Insecta,Lepidoptera,Gelechiidae,gelechiidJanzen01,gelechiidJanzen01 Janzen01
BOLD:AAA0087,Arthropoda,Insecta,Lepidoptera,Tortricidae,tortricidJanzen01,tortricidJanzen01 Janzen01
BOLD:AAA0089,Arthropoda,Insecta,Lepidoptera,Gelechiidae,gelechiidJanzen01,gelechiidJanzen01 Janzen01
BOLD:AAA0095,Arthropoda,Insecta,Lepidoptera,Depressariidae,depressariidJanzen01,depressariidJanzen01 Janzen01
BOLD:AAA0095,Arthropoda,Insecta,Lepidoptera,Gelechiidae,gelechiidJanzen01,gelechiidJanzen01 Janzen01
