Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
2019-01-01 00:00:00,1.440,2.400,5.677,8.813,71.00,25.550
2019-01-01 00:30:00,1.448,2.690,5.544,8.845,70.00,25.500
2019-01-01 01:00:00,1.395,2.950,5.272,8.429,77.00,25.450
2019-01-01 01:30:00,1.450,2.220,5.853,8.800,70.00,25.450
2019-01-01 02:00:00,1.351,2.350,5.525,8.910,74.00,25.400
2019-01-01 02:30:00,1.436,2.640,5.573,7.816,70.00,25.350
2019-01-01 03:00:00,1.429,2.520,5.594,8.890,80.00,25.300
2019-01-01 03:30:00,1.313,2.020,5.449,8.485,71.00,25.250
2019-01-01 04:00:00,1.347,2.670,5.315,9.224,83.00,25.250
2019-01-01 04:30:00,1.443,2.150,5.743,8.340,71.00,25.200
2019-01-01 05:00:00,1.503,3.020,5.968,8.957,73.00,25.200
2019-01-01 05:30:00,1.490,2.410,6.150,8.497,67.00,25.200
2019-01-01 06:00:00,1.384,2.620,5.845,8.523,77.00,25.200
2019-01-01 06:30:00,1.370,2.170,5.911,8.567,71.00,25.200
2019-01-01 07:00:00,1.423,2.440,5.756,8.501,70.00,25.200
2019-01-01 07:30:00,1.424,2.160,6.126,8.855,81.00,25.200
2019-01-01 08:00:00,1.312,1.890,5.874,8.876,78.00,25.250
2019-01-01 08:30:00,1.380,2.610,5.805,8.999,68.00,25.250
2019-01-01 09:00:00,1.312,2.090,5.733,8.621,80.00,25.300
2019-01-01 09:30:00,1.448,2.320,5.752,9.285,80.00,25.400
2019-01-01 10:00:00,1.497,2.400,5.986,8.979,67.00,25.450
2019-01-01 10:30:00,1.501,2.440,6.136,8.509,73.00,25.550
2019-01-01 11:00:00,1.397,2.740,5.890,9.245,71.00,25.650
2019-01-01 11:30:00,1.362,2.560,5.835,8.220,67.00,25.750
2019-01-01 12:00:00,1.383,2.610,6.184,9.315,74.00,25.900
2019-01-01 12:30:00,1.409,2.080,5.802,9.186,77.00,25.850
2019-01-01 13:00:00,1.387,2.040,6.026,8.876,87.00,25.850
2019-01-01 13:30:00,1.309,2.360,5.923,9.151,75.00,25.900
2019-01-01 14:00:00,1.296,2.390,5.904,9.259,78.00,25.950
2019-01-01 14:30:00,1.312,2.120,6.100,9.206,80.00,25.950
2019-01-01 15:00:00,1.411,2.250,6.342,9.145,85.00,25.950
2019-01-01 15:30:00,1.382,2.230,6.372,9.473,80.00,25.900
2019-01-01 16:00:00,1.326,2.150,6.000,9.273,73.00,25.900
2019-01-01 16:30:00,1.334,2.190,6.456,8.426,77.00,25.800
2019-01-01 17:00:00,1.308,2.480,6.358,9.242,74.00,25.850
2019-01-01 17:30:00,1.203,2.380,6.122,8.861,74.00,25.800
2019-01-01 18:00:00,1.236,2.160,6.207,8.265,80.00,25.750
2019-01-01 18:30:00,1.204,1.850,6.331,7.924,81.00,25.750
2019-01-01 19:00:00,1.260,2.390,6.139,8.915,74.00,25.700
2019-01-01 19:30:00,1.245,2.400,6.200,8.474,74.00,25.650
2019-01-01 20:00:00,1.138,1.840,5.798,9.269,74.00,25.600
2019-01-01 20:30:00,1.128,1.910,5.703,8.109,73.00,25.600
2019-01-01 21:00:00,1.283,2.640,6.156,9.551,75.00,25.550
2019-01-01 21:30:00,1.236,2.110,6.087,9.245,75.00,25.500
2019-01-01 22:00:00,1.322,2.110,5.976,8.486,74.00,25.500
2019-01-01 22:30:00,1.274,2.320,6.140,7.836,78.00,25.500
2019-01-01 23:00:00,1.232,1.950,6.088,9.271,84.00,25.500
2019-01-01 23:30:00,1.226,2.090,6.194,8.954,75.00,25.500
2019-01-02 00:00:00,1.279,2.190,6.065,8.531,81.00,25.500
2019-01-02 00:30:00,1.234,2.200,6.033,7.863,73.00,25.500
2019-01-02 01:00:00,1.401,2.370,6.464,8.293,78.00,25.450
2019-01-02 01:30:00,1.321,2.510,6.127,9.337,84.00,25.450
2019-01-02 02:00:00,1.349,2.080,6.193,9.217,84.00,25.450
2019-01-02 02:30:00,1.320,2.800,5.662,8.876,74.00,25.450
2019-01-02 03:00:00,1.219,1.940,5.960,8.739,73.00,25.400
2019-01-02 03:30:00,1.237,2.140,5.802,8.581,85.00,25.400
2019-01-02 04:00:00,1.275,2.060,6.223,9.328,73.00,25.350
2019-01-02 04:30:00,1.204,1.790,6.023,9.282,81.00,25.300
2019-01-02 05:00:00,1.301,1.930,5.985,8.845,80.00,25.300
2019-01-02 05:30:00,1.251,2.690,5.702,9.236,88.00,25.250
2019-01-02 06:00:00,1.343,2.290,5.951,8.629,84.00,25.250
2019-01-02 06:30:00,1.291,1.900,5.909,9.668,92.00,25.250
2019-01-02 07:00:00,1.317,2.130,5.606,8.765,94.00,25.300
2019-01-02 07:30:00,1.309,2.050,5.902,8.193,80.00,25.300
2019-01-02 08:00:00,1.320,2.220,5.899,9.330,91.00,25.350
2019-01-02 08:30:00,1.304,2.100,5.668,8.551,95.00,25.400
2019-01-02 09:00:00,1.322,2.070,6.038,9.304,84.00,25.500
2019-01-02 09:30:00,1.273,2.370,6.008,9.244,88.00,25.750
2019-01-02 10:00:00,1.303,2.240,5.820,9.457,78.00,25.750
2019-01-02 10:30:00,1.395,2.670,6.224,9.244,87.00,26.000
2019-01-02 11:00:00,1.327,2.070,6.281,9.701,83.00,26.100
2019-01-02 11:30:00,1.326,1.960,6.179,9.813,83.00,26.300
2019-01-02 12:00:00,1.329,2.300,6.021,9.965,84.00,26.250
2019-01-02 12:30:00,1.409,2.260,6.579,10.154,80.00,26.050
2019-01-02 13:00:00,1.225,2.040,6.363,9.504,85.00,25.950
2019-01-02 13:30:00,1.254,1.970,6.203,10.209,83.00,25.950
2019-01-02 14:00:00,1.168,1.870,6.118,10.194,83.00,25.900
2019-01-02 14:30:00,1.165,2.320,5.948,10.303,77.00,25.800
2019-01-02 15:00:00,1.230,2.100,6.043,9.336,83.00,25.850
2019-01-02 15:30:00,1.144,2.480,5.838,9.867,83.00,25.850
2019-01-02 16:00:00,1.090,1.780,5.555,9.794,91.00,25.800
2019-01-02 16:30:00,1.097,1.790,5.787,10.164,94.00,25.700
2019-01-02 17:00:00,1.117,2.130,5.750,9.945,91.00,25.600
2019-01-02 17:30:00,1.161,2.310,5.647,9.638,92.00,25.550
2019-01-02 18:00:00,1.102,1.810,5.451,9.386,92.00,25.550
